source_relative_path,target_relative_path,bucket,brand,score,doc_type,theme,suggested_title,rationale
Documentacao Tecnica/Otis/Otis - img123.jpg,high_confidence/Otis/Otis ADV - 210 Microprocessor Diagram__dup2.jpg,high_confidence,Otis,15,Wiring Diagram,Control diagram,Otis ADV-210 Microprocessor Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img125.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram.jpg,high_confidence,Otis,14,Wiring Diagram,Control System,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img126.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram__dup1.jpg,high_confidence,Otis,15,Wiring Diagram,Control System,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img127.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram__dup2.jpg,high_confidence,Otis,14,Wiring Diagram,Control System,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img128.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram__dup3.jpg,high_confidence,Otis,17,Wiring Diagram,Control System,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img129.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram__dup4.jpg,high_confidence,Otis,15,Wiring Diagram,Control System,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img130.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram__dup5.jpg,high_confidence,Otis,14,Wiring Diagram,Control System,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img131.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram__dup6.jpg,high_confidence,Otis,15,Wiring Diagram,Control System,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img132.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram__dup7.jpg,high_confidence,Otis,15,Wiring Diagram,Control System,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img133.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram__dup8.jpg,high_confidence,Otis,14,Wiring Diagram,Control System,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img134.jpg,high_confidence/Otis/Floor Position Indicator Wiring Diagram.jpg,high_confidence,Otis,15,Wiring Diagram,Indicator / Display,Floor Position Indicator Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Otis/Otis - img135.jpg,high_confidence/Otis/ADV - 210 Microprocessor Control Diagram__dup9.jpg,high_confidence,Otis,14,Wiring Diagram,Control Logic,ADV-210 Microprocessor Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img136.jpg,high_confidence/Otis/ADV - 210 Control Wiring for Machine Room and Pits.jpg,high_confidence,Otis,17,Wiring Diagram,Installation / Field Wiring,ADV-210 Control Wiring for Machine Room and Pits,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,field wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Otis/Otis - img137.jpg,high_confidence/Otis/ADV - 210 Control Wiring for Machine Room and Pits__dup1.jpg,high_confidence,Otis,16,Wiring Diagram,Installation / Field Wiring,ADV-210 Control Wiring for Machine Room and Pits,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,field wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img138.jpg,high_confidence/Otis/Emergency Battery and Lighting Wiring.jpg,high_confidence,Otis,14,Wiring Diagram,Auxiliary Power / Emergency Lighting,Emergency Battery and Lighting Wiring,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img139.jpg,review/Otis/ADV - 210 Microprocessor Control Diagram Index.jpg,review,Otis,4,Manual,Control System,ADV-210 Microprocessor Control Diagram Index,high=wiring; medium=diagram; doc_suffix
Documentacao Tecnica/Otis/Otis - img140.jpg,high_confidence/Otis/ADV - 210 Elevator Control Wiring Diagram.jpg,high_confidence,Otis,15,Wiring Diagram,Control Logic,ADV-210 Elevator Control Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img143.jpg,high_confidence/Otis/Call and Selector Wiring Diagram.jpg,high_confidence,Otis,14,Wiring Diagram,Selector / Call Mapping,Call and Selector Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img147.jpg,high_confidence/Otis/Otis Control Electrical Diagram.jpg,high_confidence,Otis,17,Wiring Diagram,Control system / door functions,Otis Control Electrical Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/PLANO OTIS SELETROM.pdf,high_confidence/Otis/Otis Seletrom Plan.pdf,high_confidence,Otis,15,Wiring Diagram,Electrical layout / Seletrom,Otis Seletrom Plan,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 15p5.gif,review/Schindler/Schindler Motor Connection Voltages 15p5.gif,review,Schindler,4,Image,Motor wiring or connection voltages,Schindler Motor Connection Voltages 15p5,high=wiring; medium=connection; doc_suffix
Documentacao Tecnica/Schindler/Schindler - 17y2.gif,high_confidence/Schindler/Schindler - 17y2.gif,high_confidence,Schindler,16,Wiring Diagram,Wiring / connector reference,Schindler Wiring Reference 242-244,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 17y3.gif,high_confidence/Schindler/Schindler - 17y3.gif,high_confidence,Schindler,16,Wiring Diagram,Wiring / connector reference,Schindler Wiring Reference 272-275,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 17y4.gif,high_confidence/Schindler/Schindler - 17y4.gif,high_confidence,Schindler,16,Wiring Diagram,Wiring / connector reference,Schindler Wiring Reference 324-335,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 17y7.gif,high_confidence/Schindler/Schindler - 17y7.gif,high_confidence,Schindler,16,Wiring Diagram,Wiring / connector reference,Schindler Wiring Reference 459-460,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 201293.jpg,high_confidence/Schindler/Schindler - 201293.jpg,high_confidence,Schindler,16,Wiring Diagram,Electromechanical schematic,Schindler Wiring Diagram 201293,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 201295.jpg,high_confidence/Schindler/Schindler - 201295.jpg,high_confidence,Schindler,16,Wiring Diagram,Electromechanical schematic,Schindler Wiring Diagram 201295,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 204059.jpg,high_confidence/Schindler/Schindler - 204059.jpg,high_confidence,Schindler,16,Wiring Diagram,Schindler technical drawing,Schindler 204059,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 20p19.gif,review/Schindler/Schindler - 20p19.gif,review,Schindler,4,Image,Door components,Schindler Door and Controller Diagram,high=schematic; medium=diagram; doc_suffix
Documentacao Tecnica/Schindler/Schindler - 319637.jpg,high_confidence/Schindler/Schindler - 319637.jpg,high_confidence,Schindler,16,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319891.jpg,high_confidence/Schindler/Schindler - 319891.jpg,high_confidence,Schindler,14,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319892.jpg,high_confidence/Schindler/Schindler - 319892.jpg,high_confidence,Schindler,16,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319893.jpg,high_confidence/Schindler/Schindler - 319893.jpg,high_confidence,Schindler,14,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319901.jpg,high_confidence/Schindler/Schindler - 319901.jpg,high_confidence,Schindler,14,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319902.jpg,high_confidence/Schindler/Schindler - 319902.jpg,high_confidence,Schindler,16,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319903.jpg,high_confidence/Schindler/Schindler - 319903.jpg,high_confidence,Schindler,14,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319904.jpg,high_confidence/Schindler/Schindler - 319904.jpg,high_confidence,Schindler,14,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319905.jpg,high_confidence/Schindler/Schindler - 319905.jpg,high_confidence,Schindler,16,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319906.jpg,high_confidence/Schindler/Schindler - 319906.jpg,high_confidence,Schindler,15,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319973.jpg,high_confidence/Schindler/Schindler - 319973.jpg,high_confidence,Schindler,16,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 319991.jpg,high_confidence/Schindler/Schindler - 319991.jpg,high_confidence,Schindler,14,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 323111.jpg,high_confidence/Schindler/Schindler - 323111.jpg,high_confidence,Schindler,14,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 323114.jpg,high_confidence/Schindler/Schindler - 323114.jpg,high_confidence,Schindler,16,Wiring Diagram,Schindler EBI-related diagram,Schindler EBI Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 32y1.gif,high_confidence/Schindler/Schindler - 32y1.gif,high_confidence,Schindler,15,Wiring Diagram,Schindler connection diagram,Schindler Connection Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 32y2 - 1.gif,high_confidence/Schindler/Schindler - 32y2 - 1.gif,high_confidence,Schindler,15,Wiring Diagram,Schindler connection diagram,Schindler Connection Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 32y2 - 2.gif,high_confidence/Schindler/Schindler - 32y2 - 2.gif,high_confidence,Schindler,15,Wiring Diagram,Schindler connection diagram,Schindler Connection Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 32y2 - 3.gif,high_confidence/Schindler/Schindler - 32y2 - 3.gif,high_confidence,Schindler,15,Wiring Diagram,Schindler connection diagram,Schindler Connection Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 32y3.gif,high_confidence/Schindler/Schindler Links Diagram.gif,high_confidence,Schindler,15,Wiring Diagram,Schindler car/landing links diagram,Schindler Links Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 332206.jpg,review/Schindler/Schindler - 332206.jpg,review,Schindler,4,Technical Note,Electrical / control,Control Wiring Notes,high=wiring; medium=electrical; doc_suffix
Documentacao Tecnica/Schindler/Schindler - 333634.jpg,review/Schindler/Schindler - 333634.jpg,review,Schindler,5,Image,Electrical installation,Schindler Electrical Installation Diagram,"high=wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 342708.jpg,review/Schindler/Schindler - 342708.jpg,review,Schindler,6,Image,Schindler spare parts / component reference,Schindler Technical Reference 342708,"high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 345981.jpg,review/Schindler/Schindler - 345981.jpg,review,Schindler,4,Image,Installation/parts diagram,Schindler Technical Diagram 345981,high=schematic; medium=diagram; doc_suffix
Documentacao Tecnica/Schindler/Schindler - 34y4 - 1.gif,review/Schindler/Schindler - 34y4 - 1.gif,review,Schindler,5,Image,Electrical connections,Schindler Wiring Reference 34y4,"high=wiring; medium=electrical,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 34y4 - 2.gif,review/Schindler/Schindler - 34y4 - 2.gif,review,Schindler,5,Image,Electrical connections,Schindler Wiring Reference 34y4,"high=wiring; medium=electrical,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 354707.jpg,review/Schindler/Schindler - 354707.jpg,review,Schindler,6,Image,Unknown,Schindler Technical Photo 354707,"high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 35y2.gif,high_confidence/Schindler/Schindler - 35y2.gif,high_confidence,Schindler,17,Wiring Diagram,Wiring Diagram,Schindler - 35y2 Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 35y4 - 1.gif,high_confidence/Schindler/Schindler - 35y4 Wiring Diagram.gif,high_confidence,Schindler,15,Wiring Diagram,Wiring Diagram,Schindler - 35y4 Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 35y4.gif,high_confidence/Schindler/Schindler - 35y4 Wiring Diagram__dup1.gif,high_confidence,Schindler,16,Wiring Diagram,Wiring Diagram,Schindler - 35y4 Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 360410.jpg,high_confidence/Schindler/Schindler Terminal Assignment Diagram.jpg,high_confidence,Schindler,14,Wiring Diagram,Terminal Assignment,Schindler Terminal Assignment Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 52501769.jpg,high_confidence/Schindler/Schindler - 52501769.jpg,high_confidence,Schindler,16,Wiring Diagram,Control cabinet wiring,Schindler Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 52y0.gif,high_confidence/Schindler/Schindler - 52y0.gif,high_confidence,Schindler,14,Wiring Diagram,Control logic / input-output mapping,Schindler Control Logic Diagram 52y0,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 53100839.jpg,high_confidence/Schindler/Schindler Electrical Installation Drawing 53100839.jpg,high_confidence,Schindler,17,Wiring Diagram,Electrical installation drawing,Schindler Electrical Installation Drawing 53100839,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 53y2.gif,high_confidence/Schindler/Schindler Wiring Diagram Fragment 53Y2.gif,high_confidence,Schindler,16,Wiring Diagram,Schindler wiring diagram fragment,Schindler Wiring Diagram Fragment 53Y2,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 53y3.gif,high_confidence/Schindler/Schindler - 53y3.gif,high_confidence,Schindler,14,Wiring Diagram,Schindler wiring diagram fragment,Schindler Wiring Diagram Fragment 53Y3,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 545673.jpg,review/Schindler/Schindler - 545673.jpg,review,Schindler,6,Image,Unknown,Schindler 545673,"high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 546814.jpg,high_confidence/Schindler/Schindler PULS 5 Wiring Reference.jpg,high_confidence,Schindler,15,Wiring Diagram,Pulses / wiring connection,Schindler PULS 5 Wiring Reference,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 546969.jpg,high_confidence/Schindler/Schindler LUST Interface and Wiring Note.jpg,high_confidence,Schindler,7,Technical Note,Control Interface / Retrofit Wiring,Schindler LUST Interface and Wiring Note,"high=wiring diagram,wiring; medium=diagram,interface; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 55501992.jpg,high_confidence/Schindler/Input Sensor LON Supply Diagram.jpg,high_confidence,Schindler,16,Wiring Diagram,Schindler input sensor/LON supply,Input Sensor LON Supply Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection,interface; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57S16.gif,high_confidence/Schindler/Schindler Wiring Diagram 57S16.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57S16,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57S3.gif,high_confidence/Schindler/Schindler Wiring Diagram 57S3.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57S3,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57S5.gif,high_confidence/Schindler/Schindler Wiring Diagram 57S5.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57S5,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57Y14.gif,high_confidence/Schindler/Schindler Wiring Diagram 57Y14.gif,high_confidence,Schindler,16,Wiring Diagram,Left/right variant schematic,Schindler Wiring Diagram 57Y14,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57Y171.gif,high_confidence/Schindler/Schindler Wiring Diagram 57Y171.gif,high_confidence,Schindler,18,Wiring Diagram,Control circuit schematic,Schindler Wiring Diagram 57Y171,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57Y18.gif,high_confidence/Schindler/Schindler Wiring Diagram 57Y18.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57Y18,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57Y19.gif,high_confidence/Schindler/Schindler Wiring Diagram 57Y19.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57Y19,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57Y20.gif,high_confidence/Schindler/Schindler Wiring Diagram 57Y20.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57Y20,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57Y21.gif,high_confidence/Schindler/Schindler Wiring Diagram 57Y21.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57Y21,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57Y23.gif,high_confidence/Schindler/Schindler Wiring Diagram 57Y23.gif,high_confidence,Schindler,18,Wiring Diagram,Control circuit schematic,Schindler Wiring Diagram 57Y23,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57Y25.gif,high_confidence/Schindler/Schindler Wiring Diagram 57Y25.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57Y25,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57Y26.gif,high_confidence/Schindler/Schindler Wiring Diagram 57Y26.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57Y26,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57s11.gif,high_confidence/Schindler/Schindler Wiring Diagram 57s11.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57s11,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57s13.gif,high_confidence/Schindler/Schindler Wiring Diagram 57s13.gif,high_confidence,Schindler,17,Wiring Diagram,Circuit diagram,Schindler Wiring Diagram 57s13,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57s14.gif,high_confidence/Schindler/Schindler Wiring Diagram 57s14.gif,high_confidence,Schindler,19,Wiring Diagram,Control circuit schematic,Schindler Wiring Diagram 57s14,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram,circuit,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57s15.gif,high_confidence/Schindler/Schindler Wiring Diagram 57s15.gif,high_confidence,Schindler,17,Wiring Diagram,Control circuit schematic,Schindler Wiring Diagram 57s15,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57s4.gif,review/Schindler/Schindler - 57s4.gif,review,Schindler,5,Image,Control system drawings,Schindler Control Diagram 57S4,"high=schematic; medium=diagram,drawings; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 57s6.gif,review/Schindler/Schindler - 57s6.gif,review,Schindler,5,Image,Control system drawings,Schindler Control Diagram 57S6,"high=schematic; medium=diagram,drawings; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 583572.jpg,review/Schindler/Schindler - 583572.jpg,review,Schindler,5,Image,Safety circuit / interlocks,Schindler Safety Circuit Diagram,"high=circuit diagram; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 583578.jpg,review/Schindler/Schindler - 583578.jpg,review,Schindler,5,Image,Safety circuit / interlocks,Schindler Safety Circuit Diagram,"high=circuit diagram; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 583589.jpg,review/Schindler/Schindler - 583589.jpg,review,Schindler,6,Image,Electrical schematic / control,Schindler Control Schematic,"high=electrical schematic,schematic; medium=electrical; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 583671.jpg,high_confidence/Schindler/Schindler - 583671.jpg,high_confidence,Schindler,9,Image,Wiring / connections,Schindler Wiring Diagram,"high=wiring diagram,wiring,schematic; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 583677.jpg,high_confidence/Schindler/Schindler - 583677.jpg,high_confidence,Schindler,7,Image,Wiring / connections,Schindler Wiring Diagram,"high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 583702.jpg,high_confidence/Schindler/Schindler - 583702.jpg,high_confidence,Schindler,7,Image,Electrical schematic / control,Schindler Technical Diagram,"high=electrical schematic,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 583703.jpg,high_confidence/Schindler/Schindler - 583703.jpg,high_confidence,Schindler,7,Image,Electrical schematic / control,Schindler Technical Diagram,"high=electrical schematic,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 583927.jpg,high_confidence/Schindler/Schindler - 583927.jpg,high_confidence,Schindler,7,Image,Safety circuit / interlocks,Schindler Safety Circuit Diagram,"high=circuit diagram,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Schindler/Schindler - 583958.jpg,high_confidence/Schindler/Schindler - 583958.jpg,high_confidence,Schindler,7,Image,Electrical schematic / control,Schindler Electrical Diagram,"high=electrical schematic,schematic; medium=electrical,diagram; doc_suffix"
